COD_RH;                 NOMBRE;                TITULO;                 LIBRO;                FECHA;                ISBN;                LUGAR;                PAGINAS 
201014;Alexandra Maria López Sevillano;Estructuración de una aplicación móvil para la captura de datos en una campaña geológica;libro Investigación formativa en ingeniería;2020;9,79E+12;Colombia;p.353 - 358
201014;Alexandra Maria López Sevillano;Aplicación web para la consulta y visualización de las rutas intermunicipales de los municipios de la Provincia Sabana Occidente del departamento de Cundinamarca, Colombia;libro Investigación formativa en ingeniería;2020;9,79E+12;Colombia;p.326 - 336
201014;Alexandra Maria López Sevillano;Diseño de la arquitectura de una plataforma colaborativa para el mapeo de puntos críticos de residuos sólidos;libro Investigación formativa en ingeniería;2020;9,79E+12;Colombia;p.359 - 366
201014;Alexandra Maria López Sevillano;Aplicación web para el seguimiento de bicicletas robadas en Bogotá, Colombia;libro Investigación formativa en ingeniería;2020;9,79E+12;;p.344 - 352
201014;Alexandra Maria López Sevillano;Desarrollo de una aplicación móvil para la detección y aviso de convulsiones en pacientes con epilepsia;libro Investigación formativa en ingeniería;2020;9,79E+12;Colombia;p.286 - 294
201014;Alexandra Maria López Sevillano;Puesta a punto de un prototipo de software funcional para la captura y análisis de parámetros fisicoquímicos y microbiológicos del recurso hídrico en Colombia;libro Investigación formativa en ingeniería;2020;9,79E+12;Colombia;p.307 - 318
833975;EDWIN EDUARDO MILLAN ROJAS;Estudio de viabilidad para la creación de un gravamen en el uso de bolsas plásticas para establecimientos comerciales en el municipio de Florencia;Fiscalidad Ambiental Avances Y Perspectivas En Colombia Y En El Mundo;2015;9,79E+12;Colombia;p.259 - 273 1
833975;EDWIN EDUARDO MILLAN ROJAS;Procesamiento sobre mallas computacionales de imágenes digitales de frutales amazónicos Eugenia stipitata arazá del departamento del Caquetá;Aportes Al Conocimiento Del Piedemonte Amazonico Uniamazonia Investiga;2011;9,79E+12;Colombia;p.220 - 231 1
833975;EDWIN EDUARDO MILLAN ROJAS;Twitter en el aula Estrategia tecnológica para fomentar la participación de los estudiantes;COMPETENCIAS DIGITALES INNOVACIN Y PROSPECTIVA;2017;9,79E+12;Colombia;p.326 - 337 1
833975;EDWIN EDUARDO MILLAN ROJAS;Capítulo 3 Víctimas y no víctimas en la zona rural del municipio de Florencia, Departamento de Caquetá, Colombia caracterización sociodemográfica;Territorio y Ecoturismo Aspectos sociodemográficos y expectativas de inserción laboral en el Posacuerdo;2020;9,79E+12;Colombia;p.105 - 143 TN
833975;EDWIN EDUARDO MILLAN ROJAS;Capítulo 5 Trayectorias y reinserción laboral de los grupos de víctimas;Territorio y Ecoturismo Aspectos sociodemográficos y expectativas de inserción laboral en el Posacuerdo;2020;9,79E+12;Colombia;p.196 - 243 TN
811718;Alvaro Enrique ORTIZ DAVILA;On the Design of a Modern and Generic Approach to Land Registration The Colombia Experience;Proceedings 8th LAND ADMINISTRATION DOMAIN MODEL WORKSHOP;2019;9,79E+12;Dinamarca;p.217 - 242
