COD_RH;                 PARTICIPANTE;                 EVENTO;                FECHA;                LUGAR;                PRODUCTOS;                 TIPO_PRODUCTO 
0000227170;Luis Alejandro Arias Barragan;Primer Congreso Internacional sobre Tecnologías Avanzadas de Mecatrónica, Diseño y Manufactura;2012;PEREIRA;LENGUAJE DE MODELAMIENTO UNIFICADO UML PARA MODELAMIENTO DE EMBOTELLADORA;Producción técnica  Presentación de trabajo  Ponencia;
0000227170;Luis Alejandro Arias Barragan;SEXTA CONFERENCIA INTERNACIONAL DE MAPAS CONCEPTUALES;2014;Santos;Utilización de mapas conceptuales para el modelamiento de procesos automatizados en UML lenguaje de modelamiento universal;Demás trabajos  Demás trabajos  Póster;
0000227170;Luis Alejandro Arias Barragan;Power Electronics and Power Quality Applications PEPQA, 2013 Workshop on;2013;BOGOTÁ, DC;Automation and SCADA system for reactive compensation in a motor control center;Producción técnica  Presentación de trabajo  Ponencia;
0000227170;Luis Alejandro Arias Barragan;I congreso IEEE Latinoamericano de redes inteligentes 2011;2011;MEDELLÍN;INFLUENCE OF HARMONICS IN COMMUNICATIONS IN LANBPL NETWORKS FOR DIFFERENT POWER FACTOR;Producción técnica  Presentación de trabajo  Ponencia;
0000227170;Luis Alejandro Arias Barragan;Diplomado en Planeación y Diseño de Investigaciones;2000;BOGOTÁ, DC;;;
0000227170;Luis Alejandro Arias Barragan;Curso de Formación Pedagogica Básica;2002;BOGOTÁ, DC;;;
0000227170;Luis Alejandro Arias Barragan;Curso Diseño Rápido de Prototipos para Circuitos Microelectrónicos Digitales;1998;BOGOTÁ, DC;;;
0000227170;Luis Alejandro Arias Barragan;Primer Curso de Lógica Digital;1997;BOGOTÁ, DC;;;
0000227170;Luis Alejandro Arias Barragan;Evento WIE DAY  09 de julio;2024;BOGOTÁ, DC;talleres sobre Industria 40, Inteligencia Artificial, Machine Learning y el campo STEM;Producción técnica  Presentación de trabajo  Ponencia;
0000227170;Luis Alejandro Arias Barragan;International Congress ICICT 2024;2024;City of Westminster;management model for reducction of matter particles emission peaks supported by sensor networks anf energy resources of electric vehicles;Producción técnica  Presentación de trabajo  Ponencia;
0000675024;LEONARDO EMIRO CONTRERAS BRAVO;TERCER CONGRESO INTERNACIONAL EN TEMAS Y EN PROBLEMAS DE INVESTIGACIN EN EDUCACIN, SOCIEDAD, CIENCIA Y TECNOLOGA;2015;BOGOTÁ, DC;el rol del docente prosumidor desde la web 20 en educación superior;Producción técnica  Presentación de trabajo  Ponencia;
0000675024;LEONARDO EMIRO CONTRERAS BRAVO;ENCUENTRO INTERNACIONAL DE EDUCACIN EN INGENIERA ACOFI 2015  UNA FORMACIN DE CALIDAD EN INGENIERA;2015;CARTAGENA DE INDIAS;DESARROLLO DE TCNICAS DE APRENDIZAJE ACTIVO APLICADO A LA ENSEANZA DE LA MECNICA APLICADA EN INGENIERA;Producción técnica  Presentación de trabajo  Ponencia;
0000675024;LEONARDO EMIRO CONTRERAS BRAVO;TERCER SIMPOSIO INTERNACIONAL EN TEMAS Y PROBLEMAS DE INVESTIGACIN EN EDUCACIN COMPLEJIDAD Y ESCENARIOS PARA LA PAZ;2016;BOGOTÁ, DC;LA PRODUCCION DEL CONOCIMIENTO DESDE EL PAPEL DEL DOCENTE EN EDUCACIN SUPERIOR MDIADOS POR LA WEB SOCIAL;Producción técnica  Presentación de trabajo  Ponencia;
