COD_RH;                 PARTICIPANTE;                 EVENTO;                FECHA;                LUGAR;                PRODUCTOS;                 TIPO_PRODUCTO 
0001344169;Robinson Jimenez Moreno;III Congreso Internacional de Ingeniería Mecatrónica y Automatización, CIIMA 2014;2014;CARTAGENA DE INDIAS;Integration of a virtual robotic environment applied to a system of telesurgical training;Producción técnica  Presentación de trabajo  Ponencia;
0001344169;Robinson Jimenez Moreno;XXI SYMPOSIUM ON SIGNAL PROCESSING, IMAGES AND ARTIFICIAL VISION 2016;2016;Arequipa;Movement detection for object tracking applied to the InMoov robot head;Producción técnica  Presentación de trabajo  Ponencia;
0001344169;Robinson Jimenez Moreno;Congreso Internacional de Ingeniería Mecatrónica y Automatización CIIMA;2017;Puerto Vallarta;Recognition of Tools Through Convolutional Neural Networks Training;Producción técnica  Presentación de trabajo  Ponencia;
0001344169;Robinson Jimenez Moreno;XII Congreso Internacional de Electrónica, Control y Telecomunicaciones  CIECT;2017;BOGOTÁ, DC;Discriminacion de herramientas para robotica asistencial;Producción técnica  Presentación de trabajo  Ponencia;
0001344169;Robinson Jimenez Moreno;XII Congreso Internacional de Electrónica, Control y Telecomunicaciones  CIECT;2017;Puerto Vallarta;PLANEACIN DE TRAYECTORIAS POR FUZZY CMEANS PARA ROBOTS MOVILES;Producción técnica  Presentación de trabajo  Ponencia;
0001344169;Robinson Jimenez Moreno;VI congreso internacional de Ingeniería Mecatrónica y Automatización CIIMA 2017;2017;MANIZALES;Evaluation of Convolutional Neural Networks for recognition in dynamic environments;Producción técnica  Presentación de trabajo  Ponencia;
0001344169;Robinson Jimenez Moreno;Segundo Congreso Internacional en Tecnología e Ingeniería Eléctrica CITIE 2017;2017;BOGOTÁ, DC;Evaluación de hiperparametros en redes neuronales convolucionales para deteccion de patrones en imagenes;Producción técnica  Presentación de trabajo  Ponencia;
0001344169;Robinson Jimenez Moreno;2nd International Symposium on Intelligent Computing Systems  ISICS 2018;2018;Mérida;Treestructured CNN for the Classification of Surgical Instruments;Producción técnica  Presentación de trabajo  Ponencia;
0001344169;Robinson Jimenez Moreno;III Congreso Internacional de Ciencias Básicas e Ingeniería CICI2020 Unillanos;2020;VILLAVICENCIO;Virtual environment for robotic assistance application;Producción técnica  Presentación de trabajo  Ponencia;
0001344169;Robinson Jimenez Moreno;5th International Conference on Inventive Computation Technologies ICICT2020;2020;San Jose;Obstacle Detection Using Faster RCNN Oriented to An Autonomous Feeding Assistance System ;Producción técnica  Presentación de trabajo  Ponencia;
0001344169;Robinson Jimenez Moreno;1 International Conference on Electronic, Biomedical Engineering, Health Informatic;2020;No Aplica;Soft Robotics for feeding assistant device a brief overall;Producción técnica  Presentación de trabajo  Ponencia;
0001344169;Robinson Jimenez Moreno;XXII 2019 Simposio Internacional en Tratamiento de Señales, Imágenes y Visión Artificial STSIVA 2019;2019;BUCARAMANGA;Convolutional Neural Network for Hand Gesture Recognition using 8 different EMG Signals;Producción técnica;
0001344169;Robinson Jimenez Moreno;IEEE International Conference on Automation  XXIII Congress of the Chilean Association of Automatic Control  IEEE ICAACCA 2018;2018;Chile;Mouth States using LSTM Neural Network;Producción técnica  Presentación de trabajo  Ponencia;
0001344169;Robinson Jimenez Moreno;II Congreso Internacional de Ciencias Básicas e Ingeniería  CICI 2018;2018;VILLAVICENCIO;Wordbased Deep Convolutional Neural Network architecture for Speech Recognition;Producción técnica  Presentación de trabajo  Ponencia;
0000594822;José Andelfo Lizcano Caro;47 Congreso Internacional de Acodal Asociación Colombiana de Ingeniería Ambiental y Sanitaria;2004;CARTAGENA DE INDIAS;;;
0000594822;José Andelfo Lizcano Caro;VI Congreso de Servicios Públicos Domiciliarios;2004;BOGOTÁ, DC;;;
0000594822;José Andelfo Lizcano Caro;Presentación de investigación al régimen tarifario de agua potable y saneamiento básico;,;3Nombre del eventoPresentación de investigación al régimen tarifario de agua potable y saneamiento básico Tipo de evento Otro Ámbito  Realizado el,  en BOGOTÁ, DC   Hotel Tequendama, salón Presidencial  Productos asociadosNombre del productoPresentación de avances consolidados de investigación y deliberación con expertos Tipo de productoProducción técnica  Presentación de trabajo  Conferencia ParticipantesNombre JOSE ANDELFO LIZCANO CARO Rol en el evento Asistente;Presentación de avances consolidados de investigación y deliberación con expertos;Producción técnica  Presentación de trabajo  Conferencia;
0000594822;José Andelfo Lizcano Caro;I Foro Nacional del Agua;2000;BOGOTÁ, DC;I Foro Nacional del Agua;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000594822;José Andelfo Lizcano Caro;II Foro Nacional del Agua y I Congreso Nacional de Reciclaje;2001;BOGOTÁ, DC;Economía y Políticas del Agua;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000594822;José Andelfo Lizcano Caro;III Foro Nacional del Agua;2003;BOGOTÁ, DC;III Foro Nacional del Agua;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000594822;José Andelfo Lizcano Caro;Servicios Públicos Domiciliarios, Régimen Tarifario y Estratificación;2004;BOGOTÁ, DC;Régimen tarifario  Prácticas y formulas tarifarias, subsidios y sobreprecios y estratificación socioeconómica;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000594822;José Andelfo Lizcano Caro;Diplomado en Gerencia de Empresas de Servicios Públicos Domiciliarios de Acueducto, Alcantarillado y Aseo;2000;BOGOTÁ, DC;Aplicación de Metodología Tarifaria;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000594822;José Andelfo Lizcano Caro;La Regulación Tarifaria de Agua Potable e Implicaciones Económicas y Sociales;2004;BOGOTÁ, DC;Implicaciones de la Nueva Metodología Tarifaria frente a la Vigilancia y el Control;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000594822;José Andelfo Lizcano Caro;54 CONGRESO DE SECTOR DE AGUA, SANEAMIENTO Y AMBIENTE;2011;SANTA MARTA;El régimen tarifario de agua potable y saneamiento básico distorsiones socio económicas;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Resumen;
0000594822;José Andelfo Lizcano Caro;TERCER CONGRESO INTERNACIONAL DEL AGUA Y EL AMBIENTE CIAYA 3;2011;BOGOTÁ, DC;SNTESIS DE LA INVESTIGACIN AL RGIMEN TARIFARIO DE AGUA POTABLE Y ALCANTARILLADO;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000594822;José Andelfo Lizcano Caro;54 CONGRESO DEL SECTOR DE AGUA, SANEAMIENTO Y AMBIENTE;2011;;RGIMEN TARIFARIO DE AGUA POTABLE Y SANEAMIENTO BSICO, DISTORSIONES SOCIOECONMICAS;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000594822;José Andelfo Lizcano Caro;55 Congreso del sector de agua, saneamiento y ambiente;2012;SANTA MARTA;Ponencia Internacional;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000594822;José Andelfo Lizcano Caro;Diplomado en Servicios Públicos Domiciliarios;2004;PEREIRA;Sistemas de Costos y Tarifas de los Servicios Públicos Domiciliarios;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000594822;José Andelfo Lizcano Caro;Programa de Formación Avanzada en el Control Social de los Servicios Públicos Domiciliarios;2004;BOGOTÁ, DC;Programa de Formación Avanzada en el Control Social de los Servicios Públicos Domiciliarios;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000594822;José Andelfo Lizcano Caro;Seminario Estratificación Municipal;1996;BOGOTÁ, DC;Estratificación Municipal;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000594822;José Andelfo Lizcano Caro;VII Congreso Internacional del Agua y el AmbienteCIAYA 7 que será de forma mixta presencial en Natal  Brasil;2022;Natal;ABASTECIMIENTO DE AGUA EN ZONAS RURALES A PARTIR DE SOLUCIONES BASADAS EN LA NATURALEZA COMUNIDADES RIBEREAS DEL MEDIO ATRATO, CHOC;Producción técnica  Presentación de trabajo  Ponencia;
0000594822;José Andelfo Lizcano Caro;IV foro INTERNACIONAL participación social y emprendimiento;2023;BOGOTÁ, DC;LA PARTICIPACIN SOCIAL EN LOS SERVICIOS PBLICOS DOMICILIARIOS EN COLOMBIA;Producción técnica  Presentación de trabajo  Ponencia;
0000594822;José Andelfo Lizcano Caro;I Seminario Internacional en Gestión Ambiental y Servicios Públicos;2020;BOGOTÁ, DC;Modelos de regulación de agua potable en horizontes de largo plazo;Producción técnica  Presentación de trabajo  Ponencia;
0000594822;José Andelfo Lizcano Caro;VII Congreso Internacional del Agua y el AmbienteCIAYA 7 que será de forma mixta presencial en Natal  Brasil;2022;Natal;INVESTIGACIONES EN DESARROLLO BASES REGULATORIAS PARA PROYECCIN DE LA DEMANDA DE AP EN HLP Y CONTROL SOCIAL DE LOS SERVICIOS PBLICOS;Producción técnica  Presentación de trabajo  Ponencia;
0000594822;José Andelfo Lizcano Caro;III Foro Nacional de Participación Social y Emprendimiento;2022;BOGOTÁ, DC;INVESTIGACIN ACADMICA EN CONTROL SOCIAL DE LOS SERVICIOS PBLICOS;Producción técnica  Presentación de trabajo  Ponencia;
0000594822;José Andelfo Lizcano Caro;IV Foro Internacional de Participación Social y Emprendimiento;2023;BOGOTÁ, DC;Modelos predictivos para el hallazgo de fugas en sistemas de acueducto Oportunidad para participar emprendiendo;Producción técnica  Presentación de trabajo  Ponencia;
0000594822;José Andelfo Lizcano Caro;I Seminario Internacional en Gestión Ambiental y Servicios Públicos;2020;BOGOTÁ, DC;Modelos de regulación de agua potable en horizontes de largo plazo;Producción técnica  Presentación de trabajo  Ponencia;
0000594822;José Andelfo Lizcano Caro;Congreso Internacional del Agua y el Ambiente CIAYA 2018;2018;Guadalajara;;;
0000166618;César Amílcar López Bello;8th International Conference Interdisciplinarity in Engineering, INTERENG 2014, 910 October 2014, Tirgu Mures, Romania;2013;Tirgo Mures;Applying Social Network Analysis on Rural Manufacturing of the Savannah of Bogota;Producción técnica  Presentación de trabajo  Ponencia;
0000166618;César Amílcar López Bello;FUZZY INFORMATION PROCESSING SOCIETY 2008 NAFIPS 2008 ANNUAL MEETING OF THE NORTH AMERICAN;2008;New York;Linear Programming with fuzzy joint parameters A Cumulative Membership Function approach;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001213490;Eduyn Ramiro Lopez Santana;XI Encuentro Colombiano de Dinámica de Sistemas;2013;BUCARAMANGA;LA CORRUPCIN EN LA PRESTACIN DE SERVICIOS EN COLOMBIA UNA PERSPECTIVA DESDE LA DINMICA DE SISTEMAS;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001213490;Eduyn Ramiro Lopez Santana;9 Encuentro Colombiano de Dinamica de Sistemas;2011;BOGOTÁ, DC;Modelo de Competencia de un duopolio aplicando dinámica de sistemas;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001213490;Eduyn Ramiro Lopez Santana;III CONGRESO DE INGENIERIA INDUSTRIAL, INGENIERA PARA EL DESARROLLO DE LATINOAMRICA;2014;BOGOTÁ, DC;;;
0001213490;Eduyn Ramiro Lopez Santana;Workshop on Engineering Applications 2016;2016;BOGOTÁ, DC;A knowledgebased expert system for scheduling in services systems;Producción técnica  Presentación de trabajo  Ponencia;
0001213490;Eduyn Ramiro Lopez Santana;VIII Simposio en Optimización;2016;CHÍA;Solving multiperiod service scheduling and routing problems;Producción técnica  Presentación de trabajo  Conferencia;
0001213490;Eduyn Ramiro Lopez Santana;Workshop on Engineering Applications  International Congress on Engineering WEA;2015;BOGOTÁ, DC;Simulation of social problems using System Dynamics;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001213490;Eduyn Ramiro Lopez Santana;Industrial and Systems Engineering Research Conference 2015ISERC;2015;Nashville;A Notation to Scheduling Problem in Service Systems;Producción técnica  Presentación de trabajo  Ponencia;
0001213490;Eduyn Ramiro Lopez Santana;2016 International Conference on Intelligent Computing;2016;Lanzhou;A nonlinear optimization model and ANFISbased approach to knowledge acquisition to classify service systems;Producción técnica  Presentación de trabajo  Ponencia;
0001213490;Eduyn Ramiro Lopez Santana;VII Simposio en Optimización;2014;BOGOTÁ, DC;Método Híbrido de Generación de Columnas y Agrupación para resolver el Problema de Ruteo de Vehículos escolares con Ventanas de Tiempo;Producción técnica  Presentación de trabajo  Ponencia;
0001213490;Eduyn Ramiro Lopez Santana;XI Congreso Latinoamericano de Dinámica de Sistemas;2013;Ciudad de México;Corrupción en la Prestación de Servicios en Colombia un análisis de Causalidad basado en Dinámica de Sistemas;Producción técnica  Presentación de trabajo  Ponencia;
0001213490;Eduyn Ramiro Lopez Santana;Quinto Congreso Internacional de Computación MéxicoColombia;2015;CARTAGENA DE INDIAS;Propuesta de un sistema basado en reglas para clasificación de sistemas de servicios;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001213490;Eduyn Ramiro Lopez Santana;61st IIE Annual Conference 2011 Undergraduate Student Technical Paper Competition;2011;Reno;Characterization and modeling of unemployment and the urban informality in Colombia using system dynamics;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Resumen;
0001213490;Eduyn Ramiro Lopez Santana;IX Congreso Latinoamericano de Dinámica de Sistemas Y II Congreso Brasileño de Dinámica de Sistemas;2011;BOGOTÁ, DC;Modelo de Competencia de un duopolio aplicando dinámica de sistemas;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001213490;Eduyn Ramiro Lopez Santana;XVI Congreso Latino Iberoamericano de Investigación de Operaciones  CLAIO;2012;;Metodología para la gestión de existencias en sistemas multiproducto, multieslabon en ambientes de alta variabilidad;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001213490;Eduyn Ramiro Lopez Santana;X Congreso Latinoamericano de Dinámica de Sistemas;2012;BUENOS AIRES;Modelo de Mejora Tecnológica para la Pyme basado en Gestión del Conocimiento y Dinámica de Sistemas;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001213490;Eduyn Ramiro Lopez Santana;VI SIMPOSIO EN OPTIMIZACIN;2013;BOGOTÁ, DC;Modelo para el diseño de cadenas de distribución con demanda bajo incertidumbre aplicando programación lineal difusa, en ambientes multiproducto y multiperiodo;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001213490;Eduyn Ramiro Lopez Santana;VIII Congreso Regional Latinoamericano  Liderazgo e Innovación Empresarial Sostenible;2011;BOGOTÁ, DC;Caracterización y modelamiento del desempleo y la informalidad urbana en Colombia mediante dinámica de sistemas;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Resumen;
0001213490;Eduyn Ramiro Lopez Santana;Congreso internacional de Ingeniería Industrial GERENCIA DE PROYECTOS;2007;BOGOTÁ, DC;;;
0001213490;Eduyn Ramiro Lopez Santana;Congreso internacional de Ingeniería Industrial INGENIERA INDUSTRIAL;2008;BOGOTÁ, DC;;;
0001213490;Eduyn Ramiro Lopez Santana;61st Annual Conference and Expo IIE;2011;Reno;Characterization and modeling of unemployment and the urban informality in Colombia using system dynamics;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Resumen;
0001213490;Eduyn Ramiro Lopez Santana;POMS 28th Annual Conference of the Production and Operations Management Society POMS;2017;Buenos Aires;Solving multiperiod service scheduling and routing problems a multiperiod maintenance service application;Producción técnica  Presentación de trabajo  Ponencia;
0001213490;Eduyn Ramiro Lopez Santana;II congreso colombiano de investigación operativa ASOCIO 2017;2017;MEDELLÍN;Problema de ruteo de vehículos periódico con visitas flexibles un algoritmo iterativo de solución;Producción técnica  Presentación de trabajo  Ponencia;
0001213490;Eduyn Ramiro Lopez Santana;IX Simposio en Optimización;2017;BOGOTÁ, DC;Sistema experto híbrido para programación y ruteo de servicios de mensajería;Producción técnica  Presentación de trabajo  Conferencia;
0001213490;Eduyn Ramiro Lopez Santana;Workshop on Engineering Applications WEA 2017;2017;CARTAGENA DE INDIAS;A Hybrid System Dynamics and Fuzzy Logic Approach to Social Problem of Corruption in Colombia;Producción técnica  Presentación de trabajo  Ponencia;
0001213490;Eduyn Ramiro Lopez Santana;XVI LACCEI INTERNATIONAL MULTICONFERENCE FOR ENGINEERING, EDUCATION AND TECHNOLOGY;2018;LIMA;Modelo de fortalecimiento de la capacidad Innovadora de las MiPyMes;Producción técnica  Presentación de trabajo  Ponencia;
0001213490;Eduyn Ramiro Lopez Santana;International Conference of Production Research, ICPR  Americas 2020;2020;Bahia Blanca;A Decomposition Approach for the Combined Inventory Routing and Scheduling Problem;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0001213490;Eduyn Ramiro Lopez Santana;XIII Metaheuristics International Conference MIC 2019;2019;CARTAGENA DE INDIAS;A Simulated Annealing approach to the Combined Maintenance Routing Optimization problem for Vehicles subject to Failures;Producción técnica  Presentación de trabajo  Ponencia;
0001213490;Eduyn Ramiro Lopez Santana;Internacional IISE Annual Conference  Expo 2019;2019;Orlando;An AgentBased Simulation with Factory Physics Principles to Traffic Systems;Producción técnica  Presentación de trabajo  Ponencia;
0001213490;Eduyn Ramiro Lopez Santana;International Conference on Production Research, ICPR Américas 2018;2018;BOGOTÁ, DC;Combined Maintenance Routing Optimization Problem For Vehicles Subject To Failures;Producción técnica  Presentación de trabajo  Ponencia;
0001213490;Eduyn Ramiro Lopez Santana;Workshop on Engineering Applications 2018;2018;MEDELLÍN;;;
0001213490;Eduyn Ramiro Lopez Santana;POMS 29 Annual Conference;2018;Houston;A Fuzzy Inference System approach to Scheduling in Service Systems;Producción técnica  Presentación de trabajo  Ponencia;
0001213490;Eduyn Ramiro Lopez Santana;V Congreso Internacional Industria y Organizaciones 2018;2018;BOGOTÁ, DC;Modelos de optimización de mantenimiento y ruteo combinado;Producción técnica  Presentación de trabajo  Ponencia;
0000201014;Alexandra Maria López Sevillano;Procesamiento Digital de Imágenes, Erdas Imágenes V82;2000;BOGOTÁ, DC;;;
0000201014;Alexandra Maria López Sevillano;Infraestructura Colombiana de datos;2001;BOGOTÁ, DC;;;
0000201014;Alexandra Maria López Sevillano;Innovacion y Tendencias en Ingenieria CONIITI, 2017 Congreso Internacional;2017;BOGOTÁ, DC;Services cloud under HSTS, Strengths and weakness before an attack of man in the middle MITM;Producción técnica  Presentación de trabajo  Ponencia;
0000201014;Alexandra Maria López Sevillano;III CONGRESO INTERNACIONAL EN DIRECCIN Y GESTIN DE PROYECTOS La gestión de proyectos sostenibles como herramienta para el fortalecimiento de la competitividad;2019;BOGOTÁ, DC;Modelo de alineación de la gobernanza de proyectos de Tecnologías de Información y la gobernanza corporativa en Colombia;Producción técnica  Presentación de trabajo  Ponencia;
0000201014;Alexandra Maria López Sevillano;XXIV Congreso Internacional de Dirección e Ingeniería de Proyecto;2020;Alicante;Alineación de la Gobernanza de Proyectos de Tecnologías de Información y la Gobernanza Corporativa en Colombia;Producción técnica  Presentación de trabajo  Ponencia;
0000201014;Alexandra Maria López Sevillano;5 International Congress of Innovation and Engineering Trends ,CONIITI;2019;BOGOTÁ, DC;ROCESSES ADAPTION UNDER COBIT V5 REFERENCE FRAMEWORK FOR HEALTH SECTOR PYMES;Producción técnica  Presentación de trabajo  Ponencia;
0000201014;Alexandra Maria López Sevillano;5 International Congress of Innovation and Engineering Trends ,CONIITI;2019;BOGOTÁ, DC;EDUCATIONAL TRENDS IN SOFTWARE ENGINEERING A SYSTEMATIC REVIEW STUDY;Producción técnica  Presentación de trabajo  Ponencia;
0000201014;Alexandra Maria López Sevillano;XXIV Congreso Internacional de Dirección e Ingeniería de Proyecto;2020;Alicante;Alineación de la Gobernanza de Proyectos de Tecnologías de Información y la Gobernanza Corporativa en Colombia;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000201014;Alexandra Maria López Sevillano;5 International Congress of Innovation and Engineering Trends ,CONIITI;2019;BOGOTÁ, DC;DYNAMIC MODEL FOR THE CONTINUOUS IMPROVEMENT OF EMERGENCY SERVICES PROVIDING INSTITUTIONS UNDER THE CYCLE OF DEMING;Producción técnica  Presentación de trabajo  Ponencia;
0000201014;Alexandra Maria López Sevillano;5 International Congress of Innovation and Engineering Trends ,CONIITI;2019;BOGOTÁ, DC;EHealth System for the Monitoring Transmission and Store of the Arterial Pressure of Chronic Hypertensive Patients;Producción técnica  Presentación de trabajo  Ponencia;
0000201014;Alexandra Maria López Sevillano;5 International Congress of Innovation and Engineering Trends ,CONIITI;2019;BOGOTÁ, DC;OPTIMIZATION MODEL FOR DEVELODPMENT OF DIGITAL INTERACTIVE EXERCISES FOR COGNICTIVE REHABILITATION;Producción técnica  Presentación de trabajo  Ponencia;
0000201014;Alexandra Maria López Sevillano;IV Congreso Internacional en Dirección y Gestión de Proyectos;2020;BOGOTÁ, DC;Alineación de las decisiones éticas del director de proyectos con la gobernanza corporativa;Producción técnica  Presentación de trabajo  Ponencia;
0000201014;Alexandra Maria López Sevillano;2018 Congreso Internacional de Innovación y Tendencias en Ingeniería CONIITI;2018;BOGOTÁ, DC;Design of an Automation Model for Taking Documentary Evidence of Compliance Tests of the IT Audit;Producción técnica  Presentación de trabajo  Ponencia;
0000201014;Alexandra Maria López Sevillano;2018 Congreso Internacional de Innovación y Tendencias en Ingeniería CONIITI;2018;BOGOTÁ, DC;Audit to the Data Quality Management Process in a Small Organization Based on NTCISO 19011;Producción técnica  Presentación de trabajo  Ponencia;
0000833975;EDWIN EDUARDO MILLAN ROJAS;Décimo Congreso Internacional de Educación Superior Universidad 2016;2016;La Habana;;;
0000833975;EDWIN EDUARDO MILLAN ROJAS;Introduccion Practica a las Ciencias de Datos y Big Data;2015;FLORENCIA;Simulación de un entorno de Big data;Producción técnica  Presentación de trabajo  Otro;
0000833975;EDWIN EDUARDO MILLAN ROJAS;Congreso Nacional sobre Contribución de las redes al desarrollo socieconómico de la Amazonia;2015;FLORENCIA;Investigación o innovación en la Amazonia Colombiana;Producción técnica  Presentación de trabajo  Ponencia;
0000833975;EDWIN EDUARDO MILLAN ROJAS;I Seminario Internacional Sobre Fiscalidad Ambiental, Energías Renovables e Impuestos Verdes;2015;FLORENCIA;Estudio de viabilidad para la creación de un gravamen en el uso de bolsas plásticas para establecimientos comerciales en el municipio de Florencia;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000833975;EDWIN EDUARDO MILLAN ROJAS;1er Congreso Nacional de Contribución al desarrollo socioeconómico de la Amazonia;2015;FLORENCIA;Innovación o Investigación en la Amazonia;Producción técnica  Presentación de trabajo  Ponencia;
0000833975;EDWIN EDUARDO MILLAN ROJAS;V Congreso Nacional de Investigación en Educación en Ciencias y Tecnologías Educyt;2016;NEIVA;Aproximación Histórico  Epistemológica a las Tecnologías de la Información y la Comunicación;Producción técnica  Presentación de trabajo  Ponencia;
0000833975;EDWIN EDUARDO MILLAN ROJAS;III CONGRESO INTERNACIONAL Y V NACIONAL EN EDUCACIN, PEDAGOGA Y CULTURA AMBIENTAL;2014;FLORENCIA;EL IMPACTO DE LAS TIC EN LA EDUCACION Y LA CULTURA AMBIENTAL;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000833975;EDWIN EDUARDO MILLAN ROJAS;Segundo congreso Regional de Telecomunicaciones;2007;Florencia;II Congreso Regional de las Telecomunicaciones;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000833975;EDWIN EDUARDO MILLAN ROJAS;II Seminario internacional en Ambiente,Biodiversidad y Desarrollo, y I Encuentro Local de Consolidacion de la red institucional del sistema Ambiental territorial de la Amazonia Colombiana;2009;FLORENCIA;Procesamiento inteligente de imagenes digitales de ecosistemas acuaticos amazonicos basado en computacion GRID enfocada a la gestion del conocimiento;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000833975;EDWIN EDUARDO MILLAN ROJAS;Primer congreso regional de las Telecomunicaciones Nuevo Orden de las telecomunicaciones en colombia y america latina;2006;Florencia;;;
0000833975;EDWIN EDUARDO MILLAN ROJAS;1er Congreso Internacional en TIC para la Amazonia;2016;FLORENCIA;Una ventana hacia un Caquetá inimaginable, experiencia para articular la lógica y la solución de problemas en ingeniería;Producción técnica  Presentación de trabajo  Ponencia;
0000833975;EDWIN EDUARDO MILLAN ROJAS;4to Congreso Internacional de TIC para la Amazonia;2023;FLORENCIA;Diseño de un entorno virtual para un laboratorio de Internet de las cosas;Producción técnica  Presentación de trabajo  Ponencia;
0000833975;EDWIN EDUARDO MILLAN ROJAS;IV Congreso Internacional de Ciencias Básicas e Ingeniería  CICI 2022;2022;VILLAVICENCIO;LAS TIC EN EL MANANTIAL UNA COMUNIDAD ECOTURSTICA EN FLORENCIA  COLOMBIA;Producción técnica  Presentación de trabajo  Ponencia;
0000833975;EDWIN EDUARDO MILLAN ROJAS;VIII Simposio de Educación AmbientalGea y el V Congreso Iberoamericano sobre Educación Ambiental para la Sustentabilidad;2023;La Habana;Tecnologías de la Información y la Comunicación para la Alfabetización Ambiental;Producción técnica  Presentación de trabajo  Ponencia;
0000833975;EDWIN EDUARDO MILLAN ROJAS;XI Seminario Internacional de Ciencias de la Computación SICC2018;2018;MEDELLÍN;Agentes Vectores Naturales Geoinspirados AVNG;Producción técnica  Presentación de trabajo  Ponencia;
0000811718;Alvaro Enrique ORTIZ DAVILA;XII Simposio Internacional en Percepción Remota y Sistemas de Información Espacial;2006;CARTAGENA DE INDIAS;Sistema de Información para la conservación y uso del agua;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000811718;Alvaro Enrique ORTIZ DAVILA;XV Conferencia Colombiana de Usuarios ESRI;2013;BOGOTÁ, DC;Investigación en Geomática;Producción técnica  Presentación de trabajo  Ponencia;
0000811718;Alvaro Enrique ORTIZ DAVILA;Esri 2015 User Conference;2015;San Diego;;;
0000811718;Alvaro Enrique ORTIZ DAVILA;VII Jornadas de Educación en Percepción Remota en el Ambito de Mercosur;2011;Alta Gracia;Sistema Inteligente para la Enseñanza de la Geomática en la Educación Básica;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Resumen;
0000811718;Alvaro Enrique ORTIZ DAVILA;XV Simposio Internacional SELPER;2012;Cayena;Geomática desde la educación básica;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000811718;Alvaro Enrique ORTIZ DAVILA;XII Simposio Internacional de Percepción Remota y Sistemas de Información Espacial;2006;CARTAGENA DE INDIAS;Sistema Inteligente para la Enseñanza de la Geomática en la Educación Básica;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Resumen;
0000811718;Alvaro Enrique ORTIZ DAVILA;XIII Simposio Internacional en Percepción Remota y Sistemas de Información Espacial, SELPER;2008;La Habana;Las bases de datos espaciales como elemento integrador de técnicas de Inteligencia Arfificial y SIG;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000811718;Alvaro Enrique ORTIZ DAVILA;XVI Simposio Internacional SELPER 2014;2014;MEDELLÍN;Trayectorias en bases de datos de objetos en movimiento;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000811718;Alvaro Enrique ORTIZ DAVILA;Semana Geomática Internacional 2013;2013;BOGOTÁ, DC;Investigación y Educación en Geomática;Producción técnica  Presentación de trabajo  Ponencia;
0000811718;Alvaro Enrique ORTIZ DAVILA;Semana Geomática Internacional 2015;2015;BOGOTÁ, DC;Aplicaciones En Bases De Datos De Objetos En Movimiento;Producción bibliográfica  Trabajos en eventos Capítulos de memoria  Completo;
0000811718;Alvaro Enrique ORTIZ DAVILA;Semana Geomática 2009;2009;BOGOTÁ, DC;Análisis Inteligente en los SIG;Producción técnica  Presentación de trabajo  Ponencia;
